"Kod";"Nazwa";"Rodzaje wydatków";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"1999";61456734;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2000";60300321;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2001";37862129;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";28008289;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";39434584;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";63648755;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";68472827;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";177156163,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";154487907,67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";132562226,26;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";67181813,50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";146279298,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";159431991,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";223120035,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";58462529,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";52245281,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";61463244,42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";55887613,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";49678737,37;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";68095460,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";74339810,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";139744873,77;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";168363787,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";154630495,38;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";218316333,13;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"1999";38082812;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2000";15185674;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2001";28461215;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";21710780;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";26070125;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";36387346;"zł";"";
