"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";110;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";114;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";144;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";197;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";275,74;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";304,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";349,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";552,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";446,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";520,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";578,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";545,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";671,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";447,81;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";372,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";385,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";396,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";384,36;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";379,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";454,99;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";516,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";639,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";118;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";120;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";138;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";179;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";258,57;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";287,62;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";310,06;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";471,07;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";405,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";369,38;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";365,19;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";354,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";399,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";459,22;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";322,05;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";330,65;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";392,36;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";431,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";520,07;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";600,53;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";754,53;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2023";947,81;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2002";111;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2003";159;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2004";153;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2005";168;"zł";"";
