"Kod";"Nazwa";"Grupy osób";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";2,56;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";2,57;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";2,50;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";2,52;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";2,49;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";2,46;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";2,50;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";2,43;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";2,41;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";2,36;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";2,82;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";2,73;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";2,79;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";2,77;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";2,68;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";2,66;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";2,61;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";2,54;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";2,52;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2023";2,47;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2014";2,84;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2015";2,84;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2016";2,76;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2017";2,69;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2018";2,69;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2019";2,70;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2020";2,71;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2021";2,74;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2022";2,60;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2023";2,53;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2014";2,80;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2015";2,73;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2016";2,60;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2017";2,57;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2018";2,63;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2019";2,55;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2020";2,57;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2021";2,41;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2022";2,38;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2023";2,29;"osoba";"";
