"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2000";129688;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2001";127010;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2002";122363;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2003";116194;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2004";110189;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2005";104949;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2006";100988;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2007";97050;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2008";93434;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2009";90027;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2010";86431;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2011";82368;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2012";79363;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2013";75978;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2014";72551;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2015";69823;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2016";67765;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2017";65917;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2018";64243;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2019";63638;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2020";62183;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2021";63279;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2022";65451;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"mężczyźni";"2023";69299;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2000";124967;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2001";122079;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2002";117483;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2003";111444;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2004";105715;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2005";100693;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2006";96676;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2007";93007;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2008";89589;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2009";86529;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2010";83066;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2011";78681;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2012";75906;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2013";72728;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2014";69081;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2015";66803;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2016";64785;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2017";62528;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2018";60982;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2019";60447;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2020";59193;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2021";59995;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2022";62406;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"15-19";"kobiety";"2023";66289;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"20-24";"mężczyźni";"2000";125889;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"20-24";"mężczyźni";"2001";126642;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"20-24";"mężczyźni";"2002";128388;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"20-24";"mężczyźni";"2003";130823;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"20-24";"mężczyźni";"2004";131426;"osoba";"";
