"Kod";"Nazwa";"Okresy";"Lokalizacje";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2019";937810;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2020";933122;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2021";928002;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2022";921111;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2023";915429;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"kobiety";"2019";1046234;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"kobiety";"2020";1041558;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"kobiety";"2021";1036390;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"kobiety";"2022";1029431;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"w miastach";"kobiety";"2023";1024075;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2019";456825;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2020";465322;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2021";465072;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2022";467012;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2023";468061;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"kobiety";"2019";459294;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"kobiety";"2020";468376;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"kobiety";"2021";468273;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"kobiety";"2022";470479;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"rok";"na wsi";"kobiety";"2023";471706;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"rok";"w miastach";"mężczyźni";"2019";577236;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"rok";"w miastach";"mężczyźni";"2020";560834;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"rok";"w miastach";"mężczyźni";"2021";554088;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"rok";"w miastach";"mężczyźni";"2022";549425;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"rok";"w miastach";"mężczyźni";"2023";543829;"osoba";"";
