"Kod";"Nazwa";"Małżeńskie/pozamałżeńskie";"Miasta / wieś";"Płeć dziecka";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";24439;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";23959;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";24915;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";25719;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";26552;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";27591;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";29847;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";29826;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";29549;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";27660;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";27239;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";25805;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";27174;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";26258;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";27452;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";28401;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";27790;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";26922;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";25713;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";24431;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";22727;"-";"";
0200000;"DOLNOŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";19524;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";20143;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";20134;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";20068;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";20456;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";21142;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";21814;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";23253;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";23059;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";22596;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";20971;"-";"";
