"Kod";"Nazwa";"Zakres przedmiotowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2014";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2015";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2016";2706;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2017";2774;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2018";3208;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2019";3315;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2020";2623;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2021";2896;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2022";2547;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2023";2741;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2014";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2015";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2016";5025;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2017";5098;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2018";6061;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2019";6979;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2020";5670;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2021";5928;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2022";5704;"osoba";"";
