"Kod";"Nazwa";"Typy aktywności";"Płeć";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2010";698;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2011";662;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2012";659;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2013";645;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2014";657;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2015";664;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2016";720;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2017";705;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2018";694;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2019";754;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2020";752;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2021";767;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2022";759;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2023";754;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2010";570;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2011";557;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2012";560;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2013";539;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2014";543;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2015";551;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2016";587;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2017";588;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2018";585;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2019";637;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2020";634;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2021";635;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2022";636;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2023";655;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2010";619;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2011";590;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2012";588;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2013";577;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2014";598;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2015";619;"tys. osób";"";
